날짜,교통량
20180824,0.834
20180825,0.896
20180826,0.785
20180827,0.857
20180828,0.869
20180829,0.853
20180830,0.877
20180831,0.921
20180901,0.86
20180902,0.763
20180903,0.831
20180904,0.889
20180905,0.907
20180906,0.919
20180907,0.933
20180908,0.904
20180909,0.784
20180910,0.902
20180911,0.93
20180912,0.923
20180913,0.916
20180914,0.919
20180915,0.863
20180916,0.764
20180917,0.887
20180918,0.916
20180919,0.933
20180920,0.856
20180921,0.888
20180922,0.847
20180923,0.726
20180924,0.777
20180925,0.693
20180926,0.703
20180927,0.869
20180928,0.88
20180929,0.867
20180930,0.736
20181001,0.846
20181002,0.917
20181003,0.807
20181004,0.899
20181005,0.883
20181006,0.835
20181007,0.785
20181008,0.901
20181009,0.802
20181010,0.893
20181011,0.921
20181012,0.925
20181013,0.895
20181014,0.786
20181015,0.873
20181016,0.88
20181017,0.9
20181018,0.878
20181019,0.915
20181020,0.883
20181021,0.796
20181022,0.841
20181023,0.89
20181024,0.902
20181025,0.879
20181026,0.92
20181027,0.924
20181028,0.783
20181029,0.838
20181030,0.901
20181031,0.909
20181101,0.913
20181102,0.897
20181103,0.862
20181104,0.756
20181105,0.844
20181106,0.856
20181107,0.869
20181108,0.851
20181109,0.829
20181110,0.757
20181111,0.674
20181112,0.852
20181113,0.886
20181114,0.876
20181115,0.882
20181116,0.914
20181117,0.911
20181118,0.811
20181119,0.906
20181120,0.919
20181121,0.924
20181122,0.945
20181123,0.955
20181124,0.809
20181125,0.787
20181126,0.896
20181127,0.912
20181128,0.925
20181129,0.927
20181130,0.944
20181201,0.891
20181202,0.771
20181203,0.871
20181204,0.947
20181205,0.956
20181206,0.977
20181207,1.0
20181208,0.935
20181209,0.796
20181210,0.941
20181211,0.942
20181212,0.956
20181213,0.906
20181214,0.906
20181217,0.833
20181218,0.93
20181219,0.935
20181220,0.929
20181221,0.98
20181222,0.949
20181223,0.818
20181224,0.949
20181225,0.801
20181226,0.963
20181227,0.958
20181228,0.963
20181229,0.88
20181230,0.758
20181231,0.903
20190101,0.649
20190102,0.856
20190103,0.897
20190104,0.924
20190105,0.815
20190106,0.658
20190107,0.857
20190108,0.915
20190109,0.908
20190110,0.918
20190111,0.923
20190112,0.866
20190113,0.733
20190114,0.871
20190115,0.908
20190116,0.913
20190117,0.919
20190118,0.942
20190119,0.881
20190120,0.771
20190121,0.898
20190122,0.929
20190123,0.931
20190124,0.939
20190125,0.962
20190126,0.888
20190127,0.744
20190128,0.9
20190129,0.934
20190130,0.95
20190131,0.96
20190201,0.927
20190202,0.797
20190203,0.643
20190204,0.627
20190205,0.77
20190206,0.646
20190207,0.857
20190208,0.911
20190209,0.838
20190210,0.707
20190211,0.889
20190212,0.764
20190213,0.916
20190214,0.922
20190215,0.845
20190216,0.837
20190217,0.729
20190218,0.87
20190219,0.777
20190220,0.877
20190221,0.893
20190222,0.918
20190223,0.868
20190224,0.749
20190225,0.877
20190226,0.88
20190227,0.887
20190228,0.908
20190301,0.768
20190302,0.763
20190303,0.675
20190304,0.832
20190305,0.856
20190306,0.871
20190307,0.903
20190308,0.925
