날짜,북,동,남,서,강수량,풍속
2015-12-13,0.19,0.81,0,0,0.0,0.154
2015-12-14,0.19,0.81,0,0,0.017,0.311
2015-12-15,0.4,0.6,0,0,0.0,0.415
2015-12-16,0.36,0.64,0,0,0.0,0.456
2015-12-17,0.62,0.38,0,0,0.0,0.231
2015-12-18,0.62,0.38,0,0,0.0,0.111
2015-12-19,0,0.38,0.62,0,0.0,0.265
2015-12-20,0,0,0.28,0.72,0.0,0.133
2015-12-21,0,0.56,0.44,0,0.014,0.398
2015-12-22,0,0.47,0.53,0,0.0,0.261
2015-12-23,0,0.69,0.31,0,0.0,0.171
2015-12-24,0.91,0,0,0.09,0.0,0.14
2015-12-25,0,0,0.91,0.09,0.0,0.277
2015-12-26,0.73,0.27,0,0,0.007,0.307
2015-12-27,0.03,0.97,0,0,0.0,0.414
2015-12-28,0.81,0.19,0,0,0.0,0.21
2015-12-29,0,0.31,0.69,0,0.0,0.191
2015-12-30,0,0,0.16,0.84,0.017,0.298
2015-12-31,0.53,0.47,0,0,0.0,0.138
2016-01-01,0.91,0.09,0,0,0.0,0.114
2016-01-02,0.53,0,0,0.47,0.0,0.285
2016-01-03,0.28,0,0,0.72,0.0,0.127
2016-01-04,0.33,0,0,0.67,0.0,0.395
2016-01-05,0.28,0.72,0,0,0.0,0.157
2016-01-06,0.73,0.27,0,0,0.0,0.134
2016-01-07,0.22,0.78,0,0,0.0,0.214
2016-01-08,0.38,0.62,0,0,0.0,0.255
2016-01-09,0.47,0.53,0,0,0.0,0.194
2016-01-10,0.09,0,0,0.91,0.0,0.267
2016-01-11,0.56,0.44,0,0,0.0,0.365
2016-01-12,0.4,0.6,0,0,0.0,0.275
2016-01-13,0.5,0.5,0,0,0.0,0.255
2016-01-14,0,0,0.57,0.43,0.0,0.257
2016-01-15,0,0.5,0.5,0,0.0,0.278
2016-01-16,0,1,0,0,0.0,0.418
2016-01-17,0.91,0.09,0,0,0.0,0.369
2016-01-18,0.5,0,0,0.5,0.0,0.178
2016-01-19,0.33,0,0,0.67,0.0,0.799
2016-01-20,0.53,0.47,0,0,0.0,0.088
